method,trainable_params,trainable_pct,train_minutes,test_acc,notebook_cell
ViT-B/16 LoRA (r=8 q/v),310292,0.360348,3.697045,0.982222,94
ViT-B/16 full fine-tune,85806346,99.648582,13.693577,0.979259,94
